Form,Packet,Variable,Error_alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
A4a,IVP,TARGETAB7 TARGETTAU7 TARGETINF7 TARGETSYN7 TARGETOTH7,"TARGETAB7, TARGETTAU7, TARGETINF7, TARGETSYN7, TARGETOTH7 conditionally blank","If TARGETAB6, TARGETTAU6, TARGETINF6, TARGETSYN6, and TARGETOTH6 are blank then TARGETAB7, TARGETTAU7, TARGETINF7, TARGETSYN7, and TARGETOTH7 must be blank",If Q2f1a. TARGETAB6 (primary amyloid beta 6) and Q2f1b. TARGETTAU6 (primary tau 6) and Q2f1c. TARGETINF6 (primary inflammation 6) and Q2f1d. TARGETSYN6 (primary synaptic plasticity 6) and Q2f1e. TARGETOTH6 (primary other 6) are blank then Q2g1a. TARGETAB7 (primary amyloid beta 7) and Q2g1b. TARGETTAU7 (primary tau 7) and Q2g1c. TARGETINF7 (primary inflammation 7) and Q2g1d. TARGETSYN7 (primary synaptic plasticity 7) and Q2g1e. TARGETOTH7 (primary other 7) must be blank,If TARGETAB6=blank and TARGETTAU6=blank and TARGETINF6=blank and TARGETSYN6=blank and TARGETOTH6=blank and TARGETAB7 is not blank and TARGETTAU7 is not blank and TARGETINF7 is not blank and TARGETSYN7 is not blank and TARGETOTH7 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL7,TRTTRIAL7 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL7 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2g2a. TRTTRIAL7 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL7=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL7,TRTTRIAL7 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL7 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2g2a. TRTTRIAL7 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL7 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM7,NCTNUM7 conditionally blank,If TRTBIOMARK is 0 then NCTNUM7 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2g2b. NCTNUM7 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM7 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO7,STARTMO7 conforms,STARTMO7 must be between 1 and 12 or blank,Q2g3a. STARTMO7 (start date month 7) must be between 1 and 12 or blank,STARTMO7<1 or STARTMO7>12 and STARTMO7 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO7,STARTMO7 conditionally blank,If STARTMO6 is blank then STARTMO7 must be blank,If Q2f3a. STARTMO6 (start date month 6) is blank then Q2g3a. STARTMO7 (start date month 7) must be blank,If STARTMO6=blank and STARTMO7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR7,STARTYEAR7 conforms,STARTYEAR7 must be between 1990 and the present year or blank,Q2g3b. STARTYEAR7 (start date year 7) must be between 1990 and the present year or blank,STARTYEAR7<1990 or STARTYEAR7>present year and STARTYEAR7 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR7,STARTYEAR7 conditionally blank,If STARTYEAR6 is blank then STARTYEAR7 must be blank,If Q2f3b. STARTYEAR6 (start date year 6) is blank then Q2g3b. STARTYEAR7 (start date year 7) must be blank,If STARTYEAR6=blank and STARTYEAR7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO7,ENDMO7 conforms,ENDMO7 must be between 1 and 12 or blank,Q2g4a. ENDMO7 (end date month 7) must be between 1 and 12 or blank,ENDMO7<1 or ENDMO7>12 and ENDMO7 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO7,ENDMO7 conditionally blank,If ENDMO6 is blank then ENDMO7 must be blank,If Q2f4a. ENDMO6 (end date month 6) is blank then Q2g4a. ENDMO7 (end date month 7) must be blank,If ENDMO6=blank and ENDMO7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR7,ENDYEAR7 conforms,ENDYEAR7 must be between 1990 and the present year or blank,Q2g4b. ENDYEAR7 (end date year 7) must be between 1990 and the present year or blank,ENDYEAR7<1990 or ENDYEAR7>present year and ENDYEAR7 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR7,ENDYEAR7 conditionally blank,If ENDYEAR6 is blank then ENDYEAR7 must be blank,If Q2f4b. ENDYEAR6 (end date year 6) is blank then Q2g4b. ENDYEAR7 (end date year 7) must be blank,If ENDYEAR6=blank and ENDYEAR7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL7,CARETRIAL7 conforms,CARETRIAL7 must be between 1 and 3 or blank,Q2g5. CARETRIAL7 (treatment provided 7) must be between 1 and 3 or blank,CARETRIAL7<1 or CARETRIAL7>3 and CARETRIAL7 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL7,CARETRIAL7 conditionally blank,If CARETRIAL6 is blank then CARETRIAL7 must be blank,If Q2f5. CARETRIAL6 (treatment provided 6) is blank then Q2g5. CARETRIAL7 (treatment provided 7) must be blank,If CARETRIAL6=blank and CARETRIAL7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP7,TRIALGRP7 conditionally present,If CARETRIAL7 is 2 or 3 then TRIALGRP7 cannot be blank,If Q2g5. CARETRIAL7 (treatment provided 7) is 2 or 3 then Q2g6. TRIALGRP7 (clinical trial 7) cannot be blank,"If CARETRIAL7=2,3 and TRIALGRP7=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP7,TRIALGRP7 conditionally blank,If CARETRIAL7 is 1 or blank then TRIALGRP7 must be blank,If Q2g5. CARETRIAL7 (treatment provided 7) is 1 or blank then Q2g6. TRIALGRP7 (clinical trial 7) must be blank,If CARETRIAL7=1 or CARETRIAL=blank and TRIALGRP7 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP7,TRIALGRP7 conforms,"TRIALGRP7 must be 1, 2, 9 or blank","Q2g6. TRIALGRP7 (clinical trial 7) must be 1, 2, 9 or blank","If TRIALGRP7 is not 1,2,9 and TRIALGRP7 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,TARGETAB8,TARGETAB8 conforms,TARGETAB8 must be blank or 1,Q2h1a. TARGETAB8 (primary amyloid beta 8) must be blank or 1,If TARGETAB8 is not blank and TARGETAB8 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETTAU8,TARGETTAU8 conforms,TARGETTAU8 must be blank or 1,Q2h1b. TARGETTAU8 (primary tau 8) must be blank or 1,If TARGETTAU8 is not blank and TARGETTAU8 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETINF8,TARGETINF8 conforms,TARGETINF8 must be blank or 1,Q2h1c. TARGETINF8 (primary inflammation 8) must be blank or 1,If TARGETINF8 is not blank and TARGETINF8 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETSYN8,TARGETSYN8 conforms,TARGETSYN8 must be blank or 1,Q2h1d. TARGETSYN8 (primary synaptic plasticity 8) must be blank or 1,If TARGETSYN8 is not blank and TARGETSYN8 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTH8,TARGETOTH8 conforms,TARGETOTH8 must be blank or 1,Q2h1e. TARGETOTH8 (primary other 8) must be blank or 1,If TARGETOTH8 is not blank and TARGETOTH8 is not 1,,,Error,Yes,Conformity,,
A4a,IVP,TARGETOTX8,TARGETOTX8 conditionally present,If TARGETOTH8 is 1 then TARGETOTX8 cannot be blank,If Q2h1e. TARGETOTH8 (primary other 8) is 1 then Q2h1e1. TARGETOTX8 (primary other specify 8) cannot be blank,If TARGETOTH8=1 and TARGETOTX8=blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETOTX8,TARGETOTX8 conditionally blank,If TARGETOTH8 is blank then TARGETOTX8 must be blank,If Q2h1e. TARGETOTH8 (primary other 8) is blank then Q2h1e1. TARGETOTX8 (primary other specify 8) must be blank,If TARGETOTH8=blank and TARGETOTX8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TARGETAB8 TARGETTAU8 TARGETINF8 TARGETSYN8 TARGETOTH8,"TARGETAB8, TARGETTAU8, TARGETINF8, TARGETSYN8, TARGETOTH8 conditionally blank","If TARGETAB7, TARGETTAU7, TARGETINF7, TARGETSYN7, and TARGETOTH7 are blank then TARGETAB8, TARGETTAU8, TARGETINF8, TARGETSYN8, and TARGETOTH8 must be blank",If Q2g1a. TARGETAB7 (primary amyloid beta 7) and Q2g1b. TARGETTAU7 (primary tau 7) and Q2g1c. TARGETINF7 (primary inflammation 7) and Q2g1d. TARGETSYN7 (primary synaptic plasticity 7) and Q2g1e. TARGETOTH7 (primary other 7) are blank then Q2h1a. TARGETAB8 (primary amyloid beta 8) and Q2h1b. TARGETTAU8 (primary tau 8) and Q2h1c. TARGETINF8 (primary inflammation 8) and Q2h1d. TARGETSYN8 (primary synaptic plasticity 8) and Q2h1e. TARGETOTH8 (primary other 8) must be blank,If TARGETAB7=blank and TARGETTAU7=blank and TARGETINF7=blank and TARGETSYN7=blank and TARGETOTH7=blank and TARGETAB8 is not blank and TARGETTAU8 is not blank and TARGETINF8 is not blank and TARGETSYN8 is not blank and TARGETOTH8 is not blank,,,Error,,Missingness,,
A4a,IVP,TRTTRIAL8,TRTTRIAL8 conditionally present,If TRTBIOMARK is 1 then TRTTRIAL8 cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q2h2a. TRTTRIAL8 (specific treatment/trial) cannot be blank,If TRTBIOMARK=1 and TRTTRIAL8=blank,,,Error,Yes,Missingness,,
A4a,IVP,TRTTRIAL8,TRTTRIAL8 conditionally blank,If TRTBIOMARK is 0 then TRTTRIAL8 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2h2a. TRTTRIAL8 (specific treatment/trial) must be blank,If TRTBIOMARK=0 and TRTTRIAL8 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,NCTNUM8,NCTNUM8 conditionally blank,If TRTBIOMARK is 0 then NCTNUM8 must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 0 then Q2h2b. NCTNUM8 (NCT identifier) must be blank,If TRTBIOMARK=0 and NCTNUM8 is not  blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTMO8,STARTMO8 conforms,STARTMO8 must be between 1 and 12 or blank,Q2h3a. STARTMO8 (start date month 8) must be between 1 and 12 or blank,STARTMO8<1 or STARTMO8>12 and STARTMO8 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTMO8,STARTMO8 conditionally blank,If STARTMO7 is blank then STARTMO8 must be blank,If Q2g3a. STARTMO7 (start date month 7) is blank then Q2h3a. STARTMO8 (start date month 8) must be blank,If STARTMO7=blank and STARTMO8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,STARTYEAR8,STARTYEAR8 conforms,STARTYEAR8 must be between 1990 and the present year or blank,Q2h3b. STARTYEAR8 (start date year 8) must be between 1990 and the present year or blank,STARTYEAR8<1990 or STARTYEAR8>present year and STARTYEAR8 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,STARTYEAR8,STARTYEAR8 conditionally blank,If STARTYEAR7 is blank then STARTYEAR8 must be blank,If Q2g3b. STARTYEAR7 (start date year 7) is blank then Q2h3b. STARTYEAR8 (start date year 8) must be blank,If STARTYEAR7=blank and STARTYEAR8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDMO8,ENDMO8 conforms,ENDMO8 must be between 1 and 12 or blank,Q2h4a. ENDMO8 (end date month 8) must be between 1 and 12 or blank,ENDMO8<1 or ENDMO8>12 and ENDMO8 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDMO8,ENDMO8 conditionally blank,If ENDMO7 is blank then ENDMO8 must be blank,If Q2g4a. ENDMO7 (end date month 7) is blank then Q2h4a. ENDMO8 (end date month 8) must be blank,If ENDMO7=blank and ENDMO8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ENDYEAR8,ENDYEAR8 conforms,ENDYEAR8 must be between 1990 and the present year or blank,Q2h4b. ENDYEAR8 (end date year 8) must be between 1990 and the present year or blank,ENDYEAR8<1990 or ENDYEAR8>present year and ENDYEAR8 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ENDYEAR8,ENDYEAR8 conditionally blank,If ENDYEAR7 is blank then ENDYEAR8 must be blank,If Q2g4b. ENDYEAR7 (end date year 7) is blank then Q2h4b. ENDYEAR8 (end date year 8) must be blank,If ENDYEAR7=blank and ENDYEAR8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,CARETRIAL8,CARETRIAL8 conforms,CARETRIAL8 must be between 1 and 3 or blank,Q2h5. CARETRIAL8 (treatment provided 8) must be between 1 and 3 or blank,CARETRIAL8<1 or CARETRIAL8>3 and CARETRIAL8 is not blank,,,Error,Yes,Conformity,,
A4a,IVP,CARETRIAL8,CARETRIAL8 conditionally blank,If CARETRIAL7 is blank then CARETRIAL8 must be blank,If Q2g5. CARETRIAL7 (treatment provided 7) is blank then Q2h5. CARETRIAL8 (treatment provided 8) must be blank,If CARETRIAL7=blank and CARETRIAL8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP8,TRIALGRP8 conditionally present,If CARETRIAL8 is 2 or 3 then TRIALGRP8 cannot be blank,If Q2h5. CARETRIAL8 (treatment provided 8) is 2 or 3 then Q2h6. TRIALGRP8 (clinical trial 8) cannot be blank,"If CARETRIAL8=2,3 and TRIALGRP8=blank",,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP8,TRIALGRP8 conditionally blank,If CARETRIAL8 is 1 or blank then TRIALGRP8 must be blank,If Q2h5. CARETRIAL8 (treatment provided 8) is 1 or blank then Q2h6. TRIALGRP8 (clinical trial 8) must be blank,If CARETRIAL8=1 or CARETRIAL8=blank and TRIALGRP8 is not blank,,,Error,Yes,Missingness,,
A4a,IVP,TRIALGRP8,TRIALGRP8 conforms,"TRIALGRP8 must be 1, 2, 9 or blank","Q2h6. TRIALGRP8 (clinical trial 8) must be 1, 2, 9 or blank","If TRIALGRP8 is not 1,2,9 and TRIALGRP8 is not blank",,,Error,Yes,Conformity,,
A4a,IVP,ADVEVENT,ADVEVENT conditionally present,If TRTBIOMARK is 1 then ADVEVENT cannot be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q3. ADVEVENT (adverse events) cannot be blank,If TRTBIOMARK=1 and ADVEVENT=blank,,,Error,Yes,Missingness,,
A4a,IVP,ADVEVENT,ADVEVENT conditionally blank,If TRTBIOMARK is 0 then ADVEVENT must be blank,If Q1. TRTBIOMARK (treatment affecting biomarkers) is 1 then Q3. ADVEVENT (adverse events) must be blank,If TRTBIOMARK=0 and ADVEVENT is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ADVEVENT,ADVEVENT conforms,"ADVEVENT must be 0, 1, or 9","Q3. ADVEVENT (adverse events) must be 0, 1, or 9, or blank","If ADVEVENT is not 0,1,9 and ADVEVENT is not blank",,,Error,Yes,Conformity,,
A4a,IVP,ARIAE,ARIAE conditionally blank,If ADVEVENT is 0 then ARIAE must be blank,If Q3. ADVEVENT (adverse events) is 0 then Q3a1. ARIAE (edeme abnormalities) must be blank,If ADVEVENT=0 and ARIAE is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ARIAE ,ARIAE conforms,ARIAE must be 1 or blank,Q3a1. ARIAE (edeme abnormalities) must be 1 or blank,If ARIAE is not 1 and ARIAE is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ARIAH,ARIAH conditionally blank,If ADVEVENT is 0 then ARIAH must be blank,If Q3. ADVEVENT (adverse events) is 0 then Q3a2. ARIAH (hemorrhage abnormalities) must be blank,If ADVEVENT=0 and ARIAH is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ARIAH,ARIAH conforms,ARIAH must be 1 or blank,Q3a2. ARIAH (hemorrhage abnormalities) must be 1 or blank,If ARIAH is not 1 and ARIAH is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ADVERSEOTH,ADVERSEOTH conditionally blank,If ADVEVENT is 0 then ADVERSEOTH must be blank,If Q3. ADVEVENT (adverse events) is 0 then Q3a3. ADVERSEOTH (other adverse event) must be blank,If ADVEVENT=0 and ADVERSEOTH is not blank,,,Error,Yes,Missingness,,
A4a,IVP,ADVERSEOTH,ADVERSEOTH conforms,ADVERSEOTH must be 1 or blank,Q3a3. ADVERSEOTH (other adverse event) must be 1 or blank,If ADVERSEOTH is not 1 and ADVERSEOTH is not blank,,,Error,Yes,Conformity,,
A4a,IVP,ARIAE   ARIAH ADVERSEOTH,"ARIAE, ARIAH, ADVERSEOTH conditionally present","If ADVEVENT is 1 then at least one of the following variables must be 1: ARIAE, ARIAH, ADVERSEOTH","If Q3. ADVEVENT (adverse events) is 1 then at least one of the following variables must be 1: Q3a1. ARIAE (edeme abnormalities), Q3a2. ARIAH (hemorrhage abnormalities), or Q3a3. ADVERSEOTH (other adverse event)",If ADVEVENT=1 and ARIAE=blank and ARIAH=blank and ADVERSEOTH=blank,,,Error,,Missingness,,
A4a,IVP,ADVERSEOTX,ADVERSEOTX conditionally present,If ADVERSEOTH is 1 then ADVERSEOTX cannot be blank,If Q3a3. ADVERSEOTH (other adverse event) is 1 then Q3a3a. ADVERSEOTX (other adverse event specify) cannot be blank,If ADVERSEOTH=1 and ADVERSEOTX=blank,,,Error,Yes,Missingness,,
A4a,IVP,ADVERSEOTX,ADVERSEOTX conditionally blank,If ADVERSEOTH is blank then ADVERSEOTX must be blank,If Q3a3. ADVERSEOTH (other adverse event) is blank then Q3a3a. ADVERSEOTX (other adverse event specify) must be blank,If ADVERSEOTH=blank and ADVERSEOTX is not blank,,,Error,Yes,Missingness,,
